environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
pack,baseline,1,0,472,10.25325,13.00841,16.44966,26.5768,6.4132,7.92057,8.72934,22.5685,5255160.0,5255160.0,5255160.0,5255160.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,13.3967
pack,baseline,1,1,407,11.835,15.46133,21.59635,38.2817,7.4155,8.73628,12.60896,22.8394,5253520.0,5254360.0,5254360.0,5254360.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,14.0574
pack,baseline,1,2,404,11.92135,15.67551,25.91962,34.1243,7.538,9.69744,21.534,29.0202,5253520.0,5253520.0,5253520.0,5253520.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,14.6028
pack,baseline,2,0,460,10.557,13.27751,18.63438,26.1291,6.9058,8.1795,11.51789,22.1637,5253664.0,5253680.0,5253680.0,5253680.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,14.972
pack,baseline,2,1,423,11.4816,14.06965,23.38472,38.5451,7.3703,8.96894,12.38809,34.0063,5253664.0,5253664.0,5253664.0,5253664.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,14.4907
pack,baseline,2,2,414,11.67235,14.12767,28.3823,43.0685,7.3911,8.76035,18.9687,30.4523,5253664.0,5253664.0,5253664.0,5254560.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,13.8772
pack,baseline,3,0,469,10.5381,14.36734,18.00903,25.2666,6.474,7.77146,10.27186,17.5363,4175800.0,4175848.0,4175848.0,4175848.0,256.0,256.0,256.0,256.0,1179648.0,1179648.0,1179648.0,1179648.0,16.4701
pack,baseline,3,1,485,9.9575,12.7245,24.33424,29.6839,5.9339,7.31502,8.94829,25.5618,4175680.0,4175800.0,4175800.0,4175944.0,256.0,256.0,256.0,256.0,1179648.0,1179648.0,1179648.0,1179648.0,25.7803
pack,baseline,3,2,486,9.94075,12.5737,19.18107,49.0075,5.98305,7.30195,9.73968,26.2679,4175680.0,4175680.0,4175680.0,4175680.0,256.0,256.0,256.0,256.0,1179648.0,1179648.0,1179648.0,1179648.0,26.9759
pack,baseline,4,0,1205,3.8586,5.58468,7.20184,20.7801,0.3815,0.47306,0.52816,0.6318,110784.0,110784.0,110784.0,110784.0,32.0,32.0,32.0,32.0,3072.0,3072.0,3072.0,3072.0,16.1424
pack,baseline,4,1,1152,4.01645,6.10363,8.52573,27.5663,0.44195,0.55037,0.73314,0.9509,110784.0,110784.0,110784.0,110784.0,32.0,32.0,32.0,32.0,3072.0,3072.0,3072.0,3072.0,6.8133
pack,baseline,4,2,1146,4.0555,6.15,7.65542,33.1612,0.4395,0.54725,0.64072,0.7873,110784.0,110784.0,110784.0,110784.0,32.0,32.0,32.0,32.0,3072.0,3072.0,3072.0,3072.0,6.8751
pack,baseline,5,0,1225,3.8749,5.32564,6.72434,20.3671,0.3671,0.49626,0.56372,17.0951,269392.0,269392.0,269392.0,269392.0,16.0,16.0,16.0,16.0,73728.0,73728.0,73728.0,73728.0,13.535
pack,baseline,5,1,1171,3.8784,5.90345,7.96571,29.5255,0.4533,0.5553,0.76993,24.7288,269392.0,269392.0,269392.0,269392.0,16.0,16.0,16.0,16.0,73728.0,73728.0,73728.0,73728.0,17.6155
pack,baseline,5,2,1137,3.9703,6.64068,8.83688,28.6702,0.4507,0.54832,0.62244,19.5758,269392.0,269392.0,269392.0,269392.0,16.0,16.0,16.0,16.0,73728.0,73728.0,73728.0,73728.0,24.4365
pack,cached,0,0,443,10.8785,15.02502,20.68177,26.3064,6.1133,7.30926,8.98776,14.4518,2904104.0,2904832.0,2906352.0,2906352.0,640.0,640.0,640.0,640.0,0.0,0.0,0.0,0.0,16.5217
